header	segment	source	accession	strain	subtype	date	year	location	host	colourName
blasthit|EPI_ISL_243608|A/mallard_duck/Netherlands/15/2011|A_/_H6N8|2011-09-14	seg2	blasthit	EPI_ISL_243608	A/mallard_duck/Netherlands/15/2011	H6N8	14/09/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243659|A/mallard_duck/Netherlands/10/2012|A_/_H6N1|2012-09-05	seg2	blasthit	EPI_ISL_243659	A/mallard_duck/Netherlands/10/2012	H6N1	05/09/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_205135|A/wild_bird/Wuhan/WHHN16/2014|A_/_H1N1|2014-12-XX	seg2	blasthit	EPI_ISL_205135	A/wild_bird/Wuhan/WHHN16/2014	H1N1	2014-12-XX	2014	Wuhan	other/unknown avian	gray
blasthit|EPI_ISL_243461|A/mallard_duck/Netherlands/23/2012|A_/_H11N9|2012-09-27	seg2	blasthit	EPI_ISL_243461	A/mallard_duck/Netherlands/23/2012	H11N9	27/09/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243453|A/mallard_duck/Netherlands/31/2013|A_/_H10N7|2013-05-20	seg2	blasthit	EPI_ISL_243453	A/mallard_duck/Netherlands/31/2013	H10N7	20/05/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243384|A/mallard_duck/Netherlands/12/2012|A_/_H6N1|2012-10-18	seg2	blasthit	EPI_ISL_243384	A/mallard_duck/Netherlands/12/2012	H6N1	18/10/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243491|A/mallard_duck/Netherlands/32/2013|A_/_H10N7|2013-08-05	seg2	blasthit	EPI_ISL_243491	A/mallard_duck/Netherlands/32/2013	H10N7	05/08/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_167226|A/Seal/Sweden/SVA0546/2014_|A_/_H10N7|2014-04-16	seg2	blasthit	EPI_ISL_167226	A/Seal/Sweden/SVA0546/2014_	H10N7	16/04/2014	2014	Sweden	seal	blue2
blasthit|EPI_ISL_329052|A/black-headed_gull/Netherlands/21/2014|A_/_H11N1|2014-12-26	seg2	blasthit	EPI_ISL_329052	A/black-headed_gull/Netherlands/21/2014	H11N1	26/12/2014	2014	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_267318|A/mallard_duck/Netherlands/2/2014|A_/_H10N7|2014-02-17	seg2	blasthit	EPI_ISL_267318	A/mallard_duck/Netherlands/2/2014	H10N7	17/02/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243504|A/mallard_duck/Netherlands/1/2014|A_/_H10N7|2014-02-17	seg2	blasthit	EPI_ISL_243504	A/mallard_duck/Netherlands/1/2014	H10N7	17/02/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328992|A/mallard_duck/Netherlands/7/2015|A_/_H8N4|2015-01-03	seg2	blasthit	EPI_ISL_328992	A/mallard_duck/Netherlands/7/2015	H8N4	03/01/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_202005|A/harbor_seal/NL/PV14-221_Ts/2015|A_/_H10N7|2015-01-12	seg2	blasthit	EPI_ISL_202005	A/harbor_seal/NL/PV14-221_Ts/2015	H10N7	12/01/2015	2015	NL	seal	blue2
blasthit|EPI_ISL_328963|A/mallard_duck/Netherlands/18/2015|A_/_H7N7|2015-06-27	seg2	blasthit	EPI_ISL_328963	A/mallard_duck/Netherlands/18/2015	H7N7	27/06/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_170566|A/harbour_seal/Germany/1/2014|A_/_H10N7|2014-10-07	seg2	blasthit	EPI_ISL_170566	A/harbour_seal/Germany/1/2014	H10N7	07/10/2014	2014	Germany	seal	blue2
blasthit|EPI_ISL_166971|A/harbour_seal/Germany/1/2014|A_/_H10N7|2014-10-07	seg2	blasthit	EPI_ISL_166971	A/harbour_seal/Germany/1/2014	H10N7	07/10/2014	2014	Germany	seal	blue2
blasthit|EPI_ISL_267256|A/mallard_duck/Netherlands/18/2014|A_/_H1N1|2014-08-27	seg2	blasthit	EPI_ISL_267256	A/mallard_duck/Netherlands/18/2014	H1N1	27/08/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243607|A/mallard_duck/Netherlands/24/2013|A_/_H4N6|2013-09-16	seg2	blasthit	EPI_ISL_243607	A/mallard_duck/Netherlands/24/2013	H4N6	16/09/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_294761|A/duck/France/150213/2015|A_/_H5N2|2015-12-01	seg2	blasthit	EPI_ISL_294761	A/duck/France/150213/2015	H5N2	01/12/2015	2015	France	anseriformes	red2
blasthit|EPI_ISL_244551|A/Anser_fabalis/China/Anhui/L144/2014|A_/_H6N1|2014-12-22	seg2	blasthit	EPI_ISL_244551	A/Anser_fabalis/China/Anhui/L144/2014	H6N1	22/12/2014	2014	China	anseriformes	red2
blasthit|EPI_ISL_243522|A/mallard_duck/Netherlands/13/2012|A_/_H3N8|2012-10-01	seg2	blasthit	EPI_ISL_243522	A/mallard_duck/Netherlands/13/2012	H3N8	01/10/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243393|A/mallard_duck/Netherlands/6/2015|A_/_H10N7|2015-03-04	seg2	blasthit	EPI_ISL_243393	A/mallard_duck/Netherlands/6/2015	H10N7	04/03/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_294758|A/mallard/France/150018/2015|A_/_H5N1|2015-02-19	seg2	blasthit	EPI_ISL_294758	A/mallard/France/150018/2015	H5N1	19/02/2015	2015	France	anseriformes	red2
blasthit|EPI_ISL_266407|A/Anseriformes/Anhui/S3/2014|A_/_H1N1|2014-12-24	seg2	blasthit	EPI_ISL_266407	A/Anseriformes/Anhui/S3/2014	H1N1	24/12/2014	2014	Anhui	anseriformes	red2
blasthit|EPI_ISL_328976|A/mallard_duck/Georgia/10/2016|A_/_H7N7|2016-09-30	seg2	blasthit	EPI_ISL_328976	A/mallard_duck/Georgia/10/2016	H7N7	30/09/2016	2016	Georgia	anseriformes	red2
blasthit|EPI_ISL_329034|A/mallard_duck/Netherlands/23/2014|A_/_H1N1|2014-09-15	seg2	blasthit	EPI_ISL_329034	A/mallard_duck/Netherlands/23/2014	H1N1	15/09/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267317|A/mallard_duck/Netherlands/26/2014|A_/_H1N1|2014-09-15	seg2	blasthit	EPI_ISL_267317	A/mallard_duck/Netherlands/26/2014	H1N1	15/09/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_250237|A/mallard/Chany/355/2016|A_/_H1N1|2016-10-10	seg2	blasthit	EPI_ISL_250237	A/mallard/Chany/355/2016	H1N1	10/10/2016	2016	Chany	anseriformes	red2
blasthit|EPI_ISL_250236|A/gadwall/Chany/315/2016|A_/_H1N1|2016-10-10	seg2	blasthit	EPI_ISL_250236	A/gadwall/Chany/315/2016	H1N1	10/10/2016	2016	Chany	anseriformes	red2
blasthit|EPI_ISL_250235|A/mallard/Chany/313/2016|A_/_H1N1|2016-10-10	seg2	blasthit	EPI_ISL_250235	A/mallard/Chany/313/2016	H1N1	10/10/2016	2016	Chany	anseriformes	red2
blasthit|EPI_ISL_250238|A/gadwall/Chany/97/2016|A_/_H6N8|2016-09-10	seg2	blasthit	EPI_ISL_250238	A/gadwall/Chany/97/2016	H6N8	10/09/2016	2016	Chany	anseriformes	red2
blasthit|EPI_ISL_329647|A/chicken/France/160013g/2016|A_/_H5N2|2016-01-01	seg2	blasthit	EPI_ISL_329647	A/chicken/France/160013g/2016	H5N2	01/01/2016	2016	France	galliformes	red3
blasthit|EPI_ISL_243582|A/bewicks_swan/Netherlands/8/2009|A_/_H6N8|2009-01-04	seg2	blasthit	EPI_ISL_243582	A/bewicks_swan/Netherlands/8/2009	H6N8	04/01/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_131209|A/wild_duck/Korea/SH5-60/2008|A_/_H4N6|2008-10-XX	seg2	blasthit	EPI_ISL_131209	A/wild_duck/Korea/SH5-60/2008	H4N6	2008-10-XX	2008	Korea	anseriformes	red2
blasthit|EPI_ISL_230631|A/turkey/Poland/14/2013|A_/_H9N2|2013-04-24	seg2	blasthit	EPI_ISL_230631	A/turkey/Poland/14/2013	H9N2	24/04/2013	2013	Poland	galliformes	red3
blasthit|EPI_ISL_267392|A/mallard_duck/Netherlands/13/2009|A_/_H3N3|2009-09-09	seg2	blasthit	EPI_ISL_267392	A/mallard_duck/Netherlands/13/2009	H3N3	09/09/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_329027|A/mallard_duck/Netherlands/6/2009|A_/_H7N7|2009-02-02	seg2	blasthit	EPI_ISL_329027	A/mallard_duck/Netherlands/6/2009	H7N7	02/02/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328985|A/ruddy_turnstone/Netherlands/1/2009|A_/_H10N4|2009-10-22	seg2	blasthit	EPI_ISL_328985	A/ruddy_turnstone/Netherlands/1/2009	H10N4	22/10/2009	2009	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_328941|A/ruddy_turnstone/Netherlands/2/2009|A_/_H10N4|2009-10-22	seg2	blasthit	EPI_ISL_328941	A/ruddy_turnstone/Netherlands/2/2009	H10N4	22/10/2009	2009	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_327464|A/Duck/Mongolia/751/2017|A_/_H7N3|2017-09-XX	seg2	blasthit	EPI_ISL_327464	A/Duck/Mongolia/751/2017	H7N3	2017-09-XX	2017	Mongolia	anseriformes	red2
blasthit|EPI_ISL_243466|A/mallard_duck/Netherlands/7/2009|A_/_H7N7|2009-02-02	seg2	blasthit	EPI_ISL_243466	A/mallard_duck/Netherlands/7/2009	H7N7	02/02/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243558|A/mallard_duck/Netherlands/12/2009|A_/_H11N9|2009-09-02	seg2	blasthit	EPI_ISL_243558	A/mallard_duck/Netherlands/12/2009	H11N9	02/09/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243590|A/mallard_duck/Netherlands/2/2009|A_/_H7N7|2009-01-09	seg2	blasthit	EPI_ISL_243590	A/mallard_duck/Netherlands/2/2009	H7N7	09/01/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_329032|A/mallard_duck/Netherlands/4/2009|A_/_H7N7|2009-01-17	seg2	blasthit	EPI_ISL_329032	A/mallard_duck/Netherlands/4/2009	H7N7	17/01/2009	2009	Netherlands	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|PA|2017-02	seg3	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_267186|A/mallard_duck/Netherlands/8/2014|A_/_H7N5|2014-10-28	seg3	blasthit	EPI_ISL_267186	A/mallard_duck/Netherlands/8/2014	H7N5	28/10/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243654|A/greater_white-fronted_goose/Netherlands/1/2012|A_/_H1N1|2012-11-20	seg3	blasthit	EPI_ISL_243654	A/greater_white-fronted_goose/Netherlands/1/2012	H1N1	20/11/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267342|A/mallard_duck/Netherlands/2/2013|A_/_H3N6|2013-09-10	seg3	blasthit	EPI_ISL_267342	A/mallard_duck/Netherlands/2/2013	H3N6	10/09/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_309814|A/Chicken/Netherlands/13016263-031-035/2013|A_/_H5N3|2013-12-10	seg3	blasthit	EPI_ISL_309814	A/Chicken/Netherlands/13016263-031-035/2013	H5N3	10/12/2013	2013	Netherlands	galliformes	red3
blasthit|EPI_ISL_309813|A/Chicken/Netherlands/13015884/2013|A_/_H5N3|2013-11-29	seg3	blasthit	EPI_ISL_309813	A/Chicken/Netherlands/13015884/2013	H5N3	29/11/2013	2013	Netherlands	galliformes	red3
blasthit|EPI_ISL_294001|A/duck/Mongolia/17/2011|A_/_H4N3|2011-08-26	seg3	blasthit	EPI_ISL_294001	A/duck/Mongolia/17/2011	H4N3	26/08/2011	2011	Mongolia	anseriformes	red2
blasthit|EPI_ISL_151927|A/wild_waterfowl/Dongting/C2383/2012|A_/_H1N2|2012-01-10	seg3	blasthit	EPI_ISL_151927	A/wild_waterfowl/Dongting/C2383/2012	H1N2	10/01/2012	2012	Dongting	other/unknown avian	gray
blasthit|EPI_ISL_243439|A/mallard_duck/Netherlands/13/2013|A_/_H7N7|2013-12-10	seg3	blasthit	EPI_ISL_243439	A/mallard_duck/Netherlands/13/2013	H7N7	10/12/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328998|A/mallard_duck/Netherlands/11/2013|A_/_H7N7|2013-12-09	seg3	blasthit	EPI_ISL_328998	A/mallard_duck/Netherlands/11/2013	H7N7	09/12/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267318|A/mallard_duck/Netherlands/2/2014|A_/_H10N7|2014-02-17	seg3	blasthit	EPI_ISL_267318	A/mallard_duck/Netherlands/2/2014	H10N7	17/02/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243504|A/mallard_duck/Netherlands/1/2014|A_/_H10N7|2014-02-17	seg3	blasthit	EPI_ISL_243504	A/mallard_duck/Netherlands/1/2014	H10N7	17/02/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_163619|A/duck/Guangxi/125D17/2012|A_/_H4N2|2012-09-07	seg3	blasthit	EPI_ISL_163619	A/duck/Guangxi/125D17/2012	H4N2	07/09/2012	2012	Guangxi	anseriformes	red2
blasthit|EPI_ISL_243607|A/mallard_duck/Netherlands/24/2013|A_/_H4N6|2013-09-16	seg3	blasthit	EPI_ISL_243607	A/mallard_duck/Netherlands/24/2013	H4N6	16/09/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243393|A/mallard_duck/Netherlands/6/2015|A_/_H10N7|2015-03-04	seg3	blasthit	EPI_ISL_243393	A/mallard_duck/Netherlands/6/2015	H10N7	04/03/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243434|A/mallard_duck/Netherlands/33/2014|A_/_H10N7|2014-12-16	seg3	blasthit	EPI_ISL_243434	A/mallard_duck/Netherlands/33/2014	H10N7	16/12/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267350|A/mallard_duck/Georgia/3/2012|A_/_H7N3|2012-01-30	seg3	blasthit	EPI_ISL_267350	A/mallard_duck/Georgia/3/2012	H7N3	30/01/2012	2012	Georgia	anseriformes	red2
blasthit|EPI_ISL_267256|A/mallard_duck/Netherlands/18/2014|A_/_H1N1|2014-08-27	seg3	blasthit	EPI_ISL_267256	A/mallard_duck/Netherlands/18/2014	H1N1	27/08/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_191763|A/chicken/Germany/AR915-L01268/2015|A_/_H7N7|2015-06-09	seg3	blasthit	EPI_ISL_191763	A/chicken/Germany/AR915-L01268/2015	H7N7	09/06/2015	2015	Germany	galliformes	red3
blasthit|EPI_ISL_237154|A/duck/Kagoshima/461210/2013|A_/_H1N1|2013-12-XX	seg3	blasthit	EPI_ISL_237154	A/duck/Kagoshima/461210/2013	H1N1	2013-12-XX	2013	Kagoshima	anseriformes	red2
blasthit|EPI_ISL_191942|A/chicken/Germany/AR1386-L01302/2015|A_/_H7N7|2015-07-25	seg3	blasthit	EPI_ISL_191942	A/chicken/Germany/AR1386-L01302/2015	H7N7	25/07/2015	2015	Germany	galliformes	red3
blasthit|EPI_ISL_191941|A/chicken/Germany/AR1385-L01301/2015|A_/_H7N7|2015-07-25	seg3	blasthit	EPI_ISL_191941	A/chicken/Germany/AR1385-L01301/2015	H7N7	25/07/2015	2015	Germany	galliformes	red3
blasthit|EPI_ISL_191764|A/chicken/Germany/AR942-L01269/2015|A_/_H7N7|2015-06-09	seg3	blasthit	EPI_ISL_191764	A/chicken/Germany/AR942-L01269/2015	H7N7	09/06/2015	2015	Germany	galliformes	red3
blasthit|EPI_ISL_328963|A/mallard_duck/Netherlands/18/2015|A_/_H7N7|2015-06-27	seg3	blasthit	EPI_ISL_328963	A/mallard_duck/Netherlands/18/2015	H7N7	27/06/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267389|A/mallard_duck/Netherlands/24/2014|A_/_H7N3|2014-09-30	seg3	blasthit	EPI_ISL_267389	A/mallard_duck/Netherlands/24/2014	H7N3	30/09/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328966|A/mallard_duck/Netherlands/41/2015|A_/_H5N1|2015-09-15	seg3	blasthit	EPI_ISL_328966	A/mallard_duck/Netherlands/41/2015	H5N1	15/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_298543|A/duck/Mongolia/62/2013|A_/_H3N1|2013-09-01	seg3	blasthit	EPI_ISL_298543	A/duck/Mongolia/62/2013	H3N1	01/09/2013	2013	Mongolia	anseriformes	red2
blasthit|EPI_ISL_328955|A/mallard_duck/Netherlands/52/2015|A_/_H5N6|2015-09-16	seg3	blasthit	EPI_ISL_328955	A/mallard_duck/Netherlands/52/2015	H5N6	16/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_138236|A/duck/Vietnam/LBM300/2012|A_/_H10N2|2012-XX-XX	seg3	blasthit	EPI_ISL_138236	A/duck/Vietnam/LBM300/2012	H10N2	2012-XX-XX	2012	Vietnam	anseriformes	red2
blasthit|EPI_ISL_171721|A/chicken/England/2830/2015|A_/_H7N7|2015-01-30	seg3	blasthit	EPI_ISL_171721	A/chicken/England/2830/2015	H7N7	30/01/2015	2015	England	galliformes	red3
blasthit|EPI_ISL_122034|A/northern_shoveler/Georgia/1/2010|A_/_H2N3|2010-XX-XX	seg3	blasthit	EPI_ISL_122034	A/northern_shoveler/Georgia/1/2010	H2N3	2010-XX-XX	2010	Georgia	anseriformes	red2
blasthit|EPI_ISL_89979|A/mallard/Czech_Republic/13438-29K/2010|A_/_H11N9|2010-09-09	seg3	blasthit	EPI_ISL_89979	A/mallard/Czech_Republic/13438-29K/2010	H11N9	09/09/2010	2010	Czech_Republic	anseriformes	red2
blasthit|EPI_ISL_206840|A/duck/Sichuan/S4202/2011|A_/_H4N2|2011-11-15	seg3	blasthit	EPI_ISL_206840	A/duck/Sichuan/S4202/2011	H4N2	15/11/2011	2011	Sichuan	anseriformes	red2
blasthit|EPI_ISL_267171|A/mallard_duck/Netherlands/22/2013|A_/_H2N3|2013-01-07	seg3	blasthit	EPI_ISL_267171	A/mallard_duck/Netherlands/22/2013	H2N3	07/01/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267293|A/tufted_duck/Georgia/1/2012|A_/_H2N3|2012-12-22	seg3	blasthit	EPI_ISL_267293	A/tufted_duck/Georgia/1/2012	H2N3	22/12/2012	2012	Georgia	anseriformes	red2
blasthit|EPI_ISL_229599|A/pigeon/Egypt/S10409A/2014|A_/_H9N2|2014-12-09	seg3	blasthit	EPI_ISL_229599	A/pigeon/Egypt/S10409A/2014	H9N2	09/12/2014	2014	Egypt	other/unknown avian	gray
blasthit|EPI_ISL_300529|A/teal/Markeev/13-3-11/2016|A_/_H5N2|2016-11-03	seg3	blasthit	EPI_ISL_300529	A/teal/Markeev/13-3-11/2016	H5N2	03/11/2016	2016	Markeev	anseriformes	red2
blasthit|EPI_ISL_209380|A/shelduck/Yasnopolyanske/4-08-02/2011|A_/_H1N1|2011-02-08	seg3	blasthit	EPI_ISL_209380	A/shelduck/Yasnopolyanske/4-08-02/2011	H1N1	08/02/2011	2011	Yasnopolyanske	anseriformes	red2
blasthit|EPI_ISL_329647|A/chicken/France/160013g/2016|A_/_H5N2|2016-01-01	seg3	blasthit	EPI_ISL_329647	A/chicken/France/160013g/2016	H5N2	01/01/2016	2016	France	galliformes	red3
blasthit|EPI_ISL_329052|A/black-headed_gull/Netherlands/21/2014|A_/_H11N1|2014-12-26	seg3	blasthit	EPI_ISL_329052	A/black-headed_gull/Netherlands/21/2014	H11N1	26/12/2014	2014	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_329002|A/mallard_duck/Georgia/1/2014|A_/_H10N7|2014-11-24	seg3	blasthit	EPI_ISL_329002	A/mallard_duck/Georgia/1/2014	H10N7	24/11/2014	2014	Georgia	anseriformes	red2
blasthit|EPI_ISL_131203|A/wild_duck/Korea/CSM20-5/2009|A_/_H4N6|2009-11-XX	seg3	blasthit	EPI_ISL_131203	A/wild_duck/Korea/CSM20-5/2009	H4N6	2009-11-XX	2009	Korea	anseriformes	red2
blasthit|EPI_ISL_301004|A/wildbird/Ibaraki/R-5W-12/2010|A_/_H4N6|2010-XX-XX	seg3	blasthit	EPI_ISL_301004	A/wildbird/Ibaraki/R-5W-12/2010	H4N6	2010-XX-XX	2010	Ibaraki	other/unknown avian	gray
blasthit|EPI_ISL_252872|A/duck/Shanxi/3180/2010|A_/_H10N7|2010-12-XX	seg3	blasthit	EPI_ISL_252872	A/duck/Shanxi/3180/2010	H10N7	2010-12-XX	2010	Shanxi	anseriformes	red2
blasthit|EPI_ISL_70551|A/mallard/Korea/GH170/2007|A_/_H7N7|2007-12-XX	seg3	blasthit	EPI_ISL_70551	A/mallard/Korea/GH170/2007	H7N7	2007-12-XX	2007	Korea	anseriformes	red2
blasthit|EPI_ISL_189721|A/mallard/Republic_of_Georgia/3/2010|A_/_H7N3|2010-02-03	seg3	blasthit	EPI_ISL_189721	A/mallard/Republic_of_Georgia/3/2010	H7N3	03/02/2010	2010	Republic_of_Georgia	anseriformes	red2
blasthit|EPI_ISL_328975|A/mallard_duck/Georgia/2/2016|A_/_H7N7|2016-01-04	seg3	blasthit	EPI_ISL_328975	A/mallard_duck/Georgia/2/2016	H7N7	04/01/2016	2016	Georgia	anseriformes	red2
blasthit|EPI_ISL_11856|A/Baikal_Teal/Hongze/14/2005|A_/_H11N9|2005-XX-XX	seg3	blasthit	EPI_ISL_11856	A/Baikal_Teal/Hongze/14/2005	H11N9	2005-XX-XX	2005	Hongze	anseriformes	red2
blasthit|EPI_ISL_234920|A/duck/France/150236/2015|A_/_H5N9|2015-12-07	seg3	blasthit	EPI_ISL_234920	A/duck/France/150236/2015	H5N9	07/12/2015	2015	France	anseriformes	red2
blasthit|EPI_ISL_229617|A/pigeon/Egypt/S10408B/2014|A_/_H9N2|2014-12-09	seg3	blasthit	EPI_ISL_229617	A/pigeon/Egypt/S10408B/2014	H9N2	09/12/2014	2014	Egypt	other/unknown avian	gray
blasthit|EPI_ISL_328958|A/mallard_duck/Netherlands/56/2015|A_/_H3N2|2015-08-22	seg3	blasthit	EPI_ISL_328958	A/mallard_duck/Netherlands/56/2015	H3N2	22/08/2015	2015	Netherlands	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|HA|2017-02	seg4	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_267243|A/barnacle_goose/Netherlands/2/2014|A_/_H3N6|2014-12-15	seg4	blasthit	EPI_ISL_267243	A/barnacle_goose/Netherlands/2/2014	H3N6	15/12/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_291185|A/Mallard/Netherlands/11015220/2011|A_/_H3N8|2011-08-26	seg4	blasthit	EPI_ISL_291185	A/Mallard/Netherlands/11015220/2011	H3N8	26/08/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243492|A/mallard_duck/Netherlands/7/2008|A_/_H3N8|2008-08-22	seg4	blasthit	EPI_ISL_243492	A/mallard_duck/Netherlands/7/2008	H3N8	22/08/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328993|A/mallard_duck/Netherlands/6/2008|A_/_H3N6|2008-08-22	seg4	blasthit	EPI_ISL_328993	A/mallard_duck/Netherlands/6/2008	H3N6	22/08/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267342|A/mallard_duck/Netherlands/2/2013|A_/_H3N6|2013-09-10	seg4	blasthit	EPI_ISL_267342	A/mallard_duck/Netherlands/2/2013	H3N6	10/09/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_291195|A/Mallard/Netherlands/14016619/2014|A_/_H3N6|2014-12-03	seg4	blasthit	EPI_ISL_291195	A/Mallard/Netherlands/14016619/2014	H3N6	03/12/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243553|A/mallard_duck/Netherlands/6/2013|A_/_H3N8|2013-10-01	seg4	blasthit	EPI_ISL_243553	A/mallard_duck/Netherlands/6/2013	H3N8	01/10/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_309832|A/Duck/Netherlands/06027358/2006|A_/_H3N8|2006-09-27	seg4	blasthit	EPI_ISL_309832	A/Duck/Netherlands/06027358/2006	H3N8	27/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267207|A/mallard_duck/Netherlands/60/2006|A_/_H3N8|2006-09-18	seg4	blasthit	EPI_ISL_267207	A/mallard_duck/Netherlands/60/2006	H3N8	18/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_257067|A/duck/Bangladesh/26920/2015|A_/_H3N6|2015-12-09	seg4	blasthit	EPI_ISL_257067	A/duck/Bangladesh/26920/2015	H3N6	09/12/2015	2015	Bangladesh	anseriformes	red2
blasthit|EPI_ISL_257070|A/duck/Bangladesh/26918/2015|A_/_H3N6|2015-12-09	seg4	blasthit	EPI_ISL_257070	A/duck/Bangladesh/26918/2015	H3N6	09/12/2015	2015	Bangladesh	anseriformes	red2
blasthit|EPI_ISL_240672|A/shoveler/Chany/82K/2014|A_/_H3N8|2014-09-10	seg4	blasthit	EPI_ISL_240672	A/shoveler/Chany/82K/2014	H3N8	10/09/2014	2014	Chany	anseriformes	red2
blasthit|EPI_ISL_333615|A/gadwall/Chany/893/2018|A_/_H3N8|2018-10-19	seg4	blasthit	EPI_ISL_333615	A/gadwall/Chany/893/2018	H3N8	19/10/2018	2018	Chany	anseriformes	red2
blasthit|EPI_ISL_257079|A/duck/Bangladesh/26948/2015|A_/_H3N6|2015-12-09	seg4	blasthit	EPI_ISL_257079	A/duck/Bangladesh/26948/2015	H3N6	09/12/2015	2015	Bangladesh	anseriformes	red2
blasthit|EPI_ISL_257089|A/duck/Bangladesh/26974/2015|A_/_H3N6|2015-12-10	seg4	blasthit	EPI_ISL_257089	A/duck/Bangladesh/26974/2015	H3N6	10/12/2015	2015	Bangladesh	anseriformes	red2
blasthit|EPI_ISL_243639|A/turnstone/Netherlands/2/2007|A_/_H3N8|2007-07-31	seg4	blasthit	EPI_ISL_243639	A/turnstone/Netherlands/2/2007	H3N8	31/07/2007	2007	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_243402|A/dunlin/Netherlands/2/2007|A_/_H3N8|2007-07-31	seg4	blasthit	EPI_ISL_243402	A/dunlin/Netherlands/2/2007	H3N8	31/07/2007	2007	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_243636|A/dunlin/Netherlands/3/2007|A_/_H3N8|2007-07-31	seg4	blasthit	EPI_ISL_243636	A/dunlin/Netherlands/3/2007	H3N8	31/07/2007	2007	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_243606|A/gadwall_duck/Netherlands/3/2006|A_/_H3N8|2006-09-03	seg4	blasthit	EPI_ISL_243606	A/gadwall_duck/Netherlands/3/2006	H3N8	03/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_85900|A/duck/Italy/6207/08|A_/_H3N6|2008-11-27	seg4	blasthit	EPI_ISL_85900	A/duck/Italy/6207/08	H3N6	27/11/2008	2008	Italy	anseriformes	red2
